state_name,year,industry_code,industry_title,annual_avg_estabs_count,annual_avg_emplvl,total_annual_wages,avg_annual_pay,lq_avg_annual_pay,lq_annual_avg_emplvl
Mississippi,1998,511110,Newspaper publishers,109,2933,64969133,22149,0.94,0.78
Mississippi,1999,511110,Newspaper publishers,110,2921,67525527,23121,0.95,0.78
Missouri,2004,10,"Total, all industries",158393,2213813,77535608933,35024,1.01,1.0
Missouri,2015,10,"Total, all industries",182035,2300643,105836599184,46003,1.01,1.0
Massachusetts,1993,511110,Newspaper publishers,202,12885,396388145,30765,1.06,1.17
Massachusetts,2003,511110,Newspaper publishers,196,11098,473612752,42677,0.93,1.18
Missouri,2024,10,"10 Total, all industries",236146,2483040,160787569998,64754,1.01,1.0
Missouri,2001,511110,Newspaper publishers,308,8784,257569367,29324,0.93,1.06
Missouri,2003,511110,Newspaper publishers,308,8034,255400372,31791,0.95,1.03
Montana,2023,10,"10 Total, all industries",63578,421886,23988773958,56861,0.99,0.97
Montana,1994,511110,Newspaper publishers,83,1771,31287286,17668,0.89,1.43
Nevada,2005,511110,Newspaper publishers,45,1979,77734180,39276,1.05,0.58
New Hampshire,1998,10,"Total, all industries",41517,502111,15642154258,31153,1.01,1.03
New Jersey,2023,513110,NAICS 513110 Newspaper publishers,152,3065,292653673,95477,1.14,1.16
Alaska,2020,10,"10 Total, all industries",20586,225077,13699260386,60865,0.98,0.89
Arizona,2004,511110,Newspaper publishers,111,6256,245422428,39228,1.1,0.92
California,1998,10,"Total, all industries",996464,11896055,416237559848,34990,0.99,1.0
California,2010,10,"Total, all industries",1299754,12044614,632984988393,52553,0.99,1.01
Colorado,2019,511110,NAICS 511110 Newspaper publishers,124,2335,118305753,50670,0.87,0.96
Connecticut,2018,10,"10 Total, all industries",117513,1449072,98976442614,68303,1.01,1.02
Connecticut,2008,511110,Newspaper publishers,100,4677,196770389,42072,0.76,1.15
Delaware,2014,511110,Newspaper publishers,18,546,23820802,43601,0.89,0.87
Virginia,2014,10,"Total, all industries",232611,2969283,156075666518,52563,0.99,0.96
Washington,2009,10,"Total, all industries",219502,2311366,108158183961,46794,0.99,0.98
West Virginia,2001,511110,Newspaper publishers,83,2941,64990694,22097,0.82,1.38
West Virginia,2013,511110,Newspaper publishers,75,1924,68117016,35412,0.96,1.71
Puerto Rico,2010,10,"Total, all industries",47347,665148,16504571418,24813,0.94,0.86
Virgin Islands,1990,10,"Total, all industries",3261,29695,559157618,18830,0.92,0.82
Virgin Islands,2018,10,"10 Total, all industries",3330,23385,1032017213,44131,0.93,0.81
Indiana,2007,10,"Total, all industries",153302,2503031,94124419590,37604,1.0,1.02
Iowa,1991,511110,Newspaper publishers,303,6573,106938600,16269,0.84,1.35
Iowa,2014,511110,Newspaper publishers,246,3918,133072046,33961,0.86,1.75
Maine,2004,511110,Newspaper publishers,89,2384,71869540,30148,0.97,1.38
Nevada,1991,10,"Total, all industries",32068,544548,12148706199,22310,0.98,1.05
Nevada,2004,511110,Newspaper publishers,52,1983,74360364,37491,1.04,0.6
New Jersey,2010,10,"Total, all industries",261455,3135081,174737413305,55736,0.99,1.01
New Jersey,2024,513110,NAICS 513110 Newspaper publishers,153,2783,285467965,102566,1.16,1.14
New Mexico,1991,511110,Newspaper publishers,53,2077,39454292,19000,0.95,0.9
New Mexico,2010,511110,Newspaper publishers,60,1570,52431434,33387,0.92,1.02
New Mexico,2018,511110,NAICS 511110 Newspaper publishers,42,938,33396974,35598,0.85,1.14
New York,1991,10,"Total, all industries",469202,6379762,189962288140,29776,1.01,0.99
New York,1993,511110,Newspaper publishers,471,32042,1180196595,36833,1.17,1.06
Ohio,2022,10,"10 Total, all industries",313656,4684897,284086513719,60639,0.99,1.01
Oklahoma,2020,10,"10 Total, all industries",106844,1230661,60502654386,49163,0.99,0.94
Hawaii,1996,10,"Total, all industries",31010,426091,11263556395,26435,0.98,0.95
Hawaii,2017,10,"10 Total, all industries",39172,531863,25017100337,47037,0.95,0.96
Hawaii,2007,511110,Newspaper publishers,28,1710,88467562,51751,1.37,1.06
Illinois,2000,10,"Total, all industries",313458,5137680,196584804078,38263,1.0,1.02
Illinois,2011,511110,Newspaper publishers,380,10092,467528413,46327,1.0,0.98
Indiana,2010,10,"Total, all industries",152261,2304768,90407388546,39226,1.01,1.02
Indiana,2005,511110,Newspaper publishers,188,8636,269369480,31190,0.91,1.07
Iowa,1994,511110,Newspaper publishers,310,6766,119955193,17730,0.81,1.41
Iowa,2004,511110,Newspaper publishers,271,5781,157263452,27203,0.87,1.4
Kansas,2001,10,"Total, all industries",75664,1083162,33002234707,30468,1.01,0.97
Kentucky,2022,10,"10 Total, all industries",137021,1640191,91941535636,56055,1.0,1.0
Kentucky,2001,511110,Newspaper publishers,193,4970,143953950,28967,1.0,0.92
Maryland,2000,511110,Newspaper publishers,112,5814,247042421,42490,1.19,0.75
Maryland,2015,511110,Newspaper publishers,94,2339,115414372,49335,0.94,0.66
New Jersey,2022,10,"10 Total, all industries",307423,3581671,282503401520,78875,1.0,1.01
New Mexico,2007,10,"Total, all industries",50033,637255,22437251396,35209,0.97,0.92
New York,2008,10,"Total, all industries",569694,7163286,444761258254,62089,1.03,0.99
New York,2022,10,"10 Total, all industries",669545,7908130,716637284658,90620,1.01,0.99
North Carolina,1999,10,"Total, all industries",205735,3206066,94165861490,29371,1.0,1.0
North Dakota,2007,10,"Total, all industries",22922,277659,9111383540,32815,0.99,0.96
Oklahoma,1994,10,"Total, all industries",77988,985464,21632271065,21951,1.0,0.94
Oklahoma,2003,10,"Total, all industries",86132,1120680,32795854600,29264,0.99,0.95
Oklahoma,2024,10,"10 Total, all industries",123167,1355378,79103494649,58363,0.99,0.94
Nebraska,2004,10,"Total, all industries",51562,730413,22682662054,31055,0.99,0.99
New Jersey,2012,10,"Total, all industries",252942,3194470,185564198042,58089,0.99,1.01
New Mexico,2000,10,"Total, all industries",44997,563651,14957722029,26537,0.96,0.93
New York,1991,511110,Newspaper publishers,474,33942,1164122426,34297,1.17,1.08
New York,2015,511110,Newspaper publishers,384,15499,1204280084,77700,1.26,1.26
North Dakota,1991,511110,Newspaper publishers,77,1583,25247323,15950,0.9,1.56
North Dakota,2008,511110,Newspaper publishers,76,1425,40392861,28348,0.85,1.69
Ohio,2015,10,"Total, all industries",276429,4552282,212054287094,46582,0.99,1.02
Ohio,2024,10,"10 Total, all industries",328557,4783139,313467111368,65536,0.99,1.01
Ohio,2018,511110,NAICS 511110 Newspaper publishers,246,5781,281732275,48736,1.04,1.07
Ohio,2019,511110,NAICS 511110 Newspaper publishers,234,5248,271911347,51809,1.06,1.09
Georgia,2008,511110,Newspaper publishers,255,12021,484337199,40291,0.99,1.24
Hawaii,2015,10,"Total, all industries",37164,514827,22854956328,44393,0.95,0.95
Hawaii,2002,511110,Newspaper publishers,32,1823,82153830,45075,1.41,1.08
Iowa,2013,10,"Total, all industries",91365,1261380,51071965967,40489,0.99,1.0
Kansas,2021,10,"10 Total, all industries",85261,1114826,61074148453,54784,1.02,0.97
Kentucky,2006,10,"Total, all industries",104916,1483314,51799569546,34922,0.99,0.99
Kentucky,1993,511110,Newspaper publishers,169,5038,109869656,21809,1.03,0.85
Kentucky,1994,511110,Newspaper publishers,167,5047,112663809,22321,1.0,0.87
Louisiana,1991,10,"Total, all industries",89201,1250393,27127188544,21695,1.03,0.96
Louisiana,2024,513110,NAICS 513110 Newspaper publishers,102,799,42213131,52827,0.81,0.72
New York,1993,10,"Total, all industries",472412,6266777,205487912805,32790,1.01,0.99
New York,1992,511110,Newspaper publishers,471,32263,1205381716,37361,1.18,1.07
New York,2021,511110,NAICS 511110 Newspaper publishers,344,10543,1154301172,109484,1.32,1.68
North Carolina,1992,10,"Total, all industries",157169,2601884,57336352617,22036,1.0,1.01
North Dakota,2013,10,"Total, all industries",28616,359414,17517896523,48740,1.02,1.0
Ohio,1992,10,"Total, all industries",239221,4047824,99281529005,24527,1.0,1.03
Ohio,1996,10,"Total, all industries",260237,4477031,123117646870,27500,1.0,1.03
Oklahoma,2009,10,"Total, all industries",95460,1173494,43341517188,36934,1.0,0.94
Pennsylvania,2004,10,"Total, all industries",313741,4781005,181991489170,38066,0.99,1.04
Rhode Island,1999,10,"Total, all industries",31958,395439,11829440818,29915,0.96,1.02
Rhode Island,2008,511110,Newspaper publishers,39,1342,60953974,45406,1.11,1.19
South Carolina,2017,10,"10 Total, all industries",124941,1688066,73540249680,43565,0.99,0.97
South Dakota,2024,10,"10 Total, all industries",37927,381943,22410188063,58674,1.0,0.97
Maine,2017,511110,NAICS 511110 Newspaper publishers,64,1226,42805952,34927,0.86,1.8
Maryland,2011,10,"Total, all industries",161200,1991055,100786666914,50620,0.96,0.96
Maryland,2004,511110,Newspaper publishers,124,5641,232800272,41271,1.0,0.79
Maryland,2016,511110,NAICS 511110 Newspaper publishers,86,2283,111590526,48874,0.91,0.7
Massachusetts,2019,511110,NAICS 511110 Newspaper publishers,135,3653,215644591,59032,0.84,1.13
Minnesota,1991,511110,Newspaper publishers,317,12534,225219220,17969,0.77,1.49
Nevada,2018,10,"10 Total, all industries",79623,1216080,59499943617,48928,0.98,1.04
Nevada,2017,511110,NAICS 511110 Newspaper publishers,34,793,39898024,50345,1.13,0.54
Nevada,2020,511110,NAICS 511110 Newspaper publishers,31,591,34279791,58028,1.12,0.57
New Hampshire,1994,10,"Total, all industries",36052,440770,11159842638,25319,1.01,1.03
New Hampshire,2008,10,"Total, all industries",46948,541739,24526859364,45274,1.01,1.03
New Hampshire,2020,10,"10 Total, all industries",52709,542934,35854372654,66038,1.01,1.03
Nebraska,2016,511110,NAICS 511110 Newspaper publishers,138,2263,72755885,32157,0.8,1.88
New Hampshire,1995,10,"Total, all industries",37320,457891,12099460231,26424,1.01,1.03
New Hampshire,2006,511110,Newspaper publishers,70,2016,73786976,36602,0.9,1.19
New Jersey,2008,511110,Newspaper publishers,201,11559,707227037,61182,1.16,1.22
New Mexico,2008,10,"Total, all industries",50805,638012,23384025478,36651,0.97,0.92
New Mexico,2012,511110,Newspaper publishers,53,1450,47541939,32780,0.87,1.08
New York,2007,10,"Total, all industries",563450,7122485,437331706165,61402,1.04,0.99
New York,2010,511110,Newspaper publishers,459,19312,1235517982,63976,1.15,1.17
North Carolina,2019,511110,NAICS 511110 Newspaper publishers,185,2939,110907338,37737,0.77,0.74
North Dakota,2012,10,"Total, all industries",27198,344538,16132284490,46823,1.02,1.0
Wisconsin,1994,10,"Total, all industries",123413,2080784,49512916258,23795,0.99,1.03
Wisconsin,2004,10,"Total, all industries",150314,2335623,80318510322,34388,1.0,1.03
Wyoming,1994,10,"Total, all industries",16685,156261,3368422236,21556,0.99,0.89
Wyoming,2000,10,"Total, all industries",19412,175699,4660688160,26527,0.99,0.9
Puerto Rico,1995,10,"Total, all industries",41818,637127,9637131087,15126,0.98,0.81
Virgin Islands,2004,10,"Total, all industries",3129,30669,902781561,29437,0.93,0.85
Virgin Islands,2011,10,"Total, all industries",3396,31328,1102142114,35180,0.92,0.86
Hawaii,1997,10,"Total, all industries",31058,425589,11605677008,27270,0.96,0.95
Hawaii,2006,511110,Newspaper publishers,27,1725,85971443,49853,1.37,1.04
Idaho,2024,10,"10 Total, all industries",99439,734095,44158340151,60153,1.01,1.0
Idaho,1993,511110,Newspaper publishers,65,1829,31424767,17179,0.85,1.06
Indiana,2009,10,"Total, all industries",153962,2296457,87582358868,38138,1.01,1.02
Indiana,2022,513110,NAICS 513110 Newspaper publishers,157,2304,98979250,42966,0.72,1.07
Iowa,2015,10,"Total, all industries",93991,1294792,56365452066,43532,0.99,1.0
Iowa,2024,513110,NAICS 513110 Newspaper publishers,196,1754,73014405,41635,0.64,1.95
Kentucky,2008,511110,Newspaper publishers,181,5011,155465728,31023,0.87,1.17
Louisiana,1993,511110,Newspaper publishers,120,4642,106625464,22971,1.06,0.73
Louisiana,1999,511110,Newspaper publishers,127,4680,137267524,29330,1.09,0.77
Oregon,1990,511110,Newspaper publishers,113,4551,96987306,21310,1.01,0.87
South Carolina,2007,10,"Total, all industries",113310,1563569,54320280921,34741,0.98,0.98
South Carolina,2022,10,"10 Total, all industries",162148,1833574,101350510551,55275,0.99,0.98
Texas,1998,10,"Total, all industries",457770,7320677,235444835811,32162,1.02,0.98
Texas,1990,511110,Newspaper publishers,534,25535,537917029,21066,0.94,0.87
Texas,2008,511110,Newspaper publishers,576,17384,784094306,45105,1.03,0.69
Texas,2015,511110,Newspaper publishers,486,10457,516306923,49373,0.99,0.66
Maine,2024,513110,NAICS 513110 Newspaper publishers,47,723,33847466,46788,0.7,1.94
Minnesota,1998,511110,Newspaper publishers,347,9153,309665088,33832,1.07,1.08
Minnesota,2007,511110,Newspaper publishers,325,7801,317478290,40699,0.96,1.13
Minnesota,2013,511110,Newspaper publishers,272,5067,201244792,39720,0.86,1.18
Montana,1999,10,"Total, all industries",34324,300129,6714835553,22373,0.96,0.96
Montana,1999,511110,Newspaper publishers,83,1815,39873046,21972,0.95,1.49
Montana,2014,511110,Newspaper publishers,72,1250,40998550,32801,0.91,1.92
Oregon,1995,10,"Total, all industries",95965,1191176,29999140024,25184,0.99,1.01
South Carolina,1998,10,"Total, all industries",101971,1451019,37503284586,25846,0.99,0.98
South Carolina,2001,10,"Total, all industries",111880,1477097,42533959615,28796,0.99,0.98
South Carolina,2002,10,"Total, all industries",115559,1454665,42890164847,29485,0.99,0.98
South Carolina,2010,10,"Total, all industries",107129,1423768,52373631269,36785,0.99,0.97
South Carolina,2017,511110,NAICS 511110 Newspaper publishers,111,2273,89556909,39397,0.96,1.0
South Dakota,2011,10,"Total, all industries",28656,321879,11293459730,35086,1.0,0.98
Texas,2004,511110,Newspaper publishers,631,19935,771216653,38687,1.03,0.74
Texas,2005,511110,Newspaper publishers,617,19384,772096837,39831,1.03,0.72
Texas,2023,513110,NAICS 513110 Newspaper publishers,476,5041,364166143,72244,0.97,0.59
Utah,2022,10,"10 Total, all industries",128186,1407806,86767195072,61633,1.0,0.99
Utah,2005,511110,Newspaper publishers,61,2277,79312306,34826,1.08,0.73
Vermont,1993,10,"Total, all industries",20535,210026,4674589402,22257,1.0,1.0
Vermont,2011,10,"Total, all industries",22655,243189,9606475660,39502,0.99,0.98
Maryland,1998,10,"Total, all industries",143706,1861058,59838897149,32153,0.97,0.97
Maryland,2006,511110,Newspaper publishers,129,5742,245414507,42740,0.96,0.84
Michigan,2006,10,"Total, all industries",251994,3613440,151558525268,41943,1.0,1.01
Nebraska,2012,10,"Total, all industries",62825,762468,29476893475,38660,0.99,0.99
Massachusetts,1996,10,"Total, all industries",165108,2586241,87536081102,33847,1.01,1.04
Massachusetts,2003,10,"Total, all industries",198042,2739212,127562805861,46569,1.01,1.04
Massachusetts,2002,511110,Newspaper publishers,200,11055,464535502,42020,0.96,1.14
Michigan,1994,511110,Newspaper publishers,260,13822,383305094,27732,0.95,0.9
Missouri,1994,10,"Total, all industries",137475,2027637,49895733655,24608,1.01,1.01
Missouri,2002,10,"Total, all industries",155988,2214874,73676397537,33264,1.01,1.0
Montana,2012,511110,Newspaper publishers,73,1335,42159032,31586,0.92,1.82
Utah,2001,10,"Total, all industries",65387,871648,25889682180,29702,0.99,0.98
Virginia,1999,10,"Total, all industries",182324,2732677,89868612231,32887,0.99,0.97
Virginia,2012,10,"Total, all industries",230479,2927218,150404575833,51381,1.0,0.96
Virginia,2015,511110,Newspaper publishers,184,5784,292847266,50627,1.02,1.13
Washington,2021,511110,NAICS 511110 Newspaper publishers,123,2165,118113345,54568,0.7,0.91
Wisconsin,2001,10,"Total, all industries",141177,2340524,72978539447,31180,0.99,1.02
Puerto Rico,2019,10,"10 Total, all industries",45168,678407,18484108426,27246,0.96,0.91
Virgin Islands,1997,10,"Total, all industries",3432,28104,631062582,22454,0.91,0.8
Virgin Islands,2006,10,"Total, all industries",3312,32632,1053997128,32299,0.92,0.86
Virgin Islands,2015,511110,Newspaper publishers,2,0,0,0,0.0,0.0
North Carolina,2024,513110,NAICS 513110 Newspaper publishers,187,1663,89466862,53809,0.74,0.59
North Dakota,2022,10,"10 Total, all industries",32060,339203,20810769388,61352,1.01,0.96
Ohio,2007,511110,Newspaper publishers,322,14338,624420292,43552,1.14,1.05
Oklahoma,1991,10,"Total, all industries",72775,920342,19120605183,20776,1.01,0.93
Oregon,2005,10,"Total, all industries",116883,1386917,50247779612,36230,0.99,1.0
Pennsylvania,2017,10,"10 Total, all industries",340718,5124456,275045949904,53673,0.99,1.04
Pennsylvania,2018,10,"10 Total, all industries",342488,5193979,287198233750,55294,1.0,1.04
Rhode Island,1992,511110,Newspaper publishers,41,2230,72922973,32696,1.37,1.35
South Carolina,1996,511110,Newspaper publishers,104,4546,115363901,25377,1.07,0.78
South Dakota,2001,511110,Newspaper publishers,105,1640,32518990,19831,0.8,1.44
Tennessee,2018,10,"10 Total, all industries",157381,2560978,129795083127,50682,1.01,1.01
Oklahoma,1995,511110,Newspaper publishers,176,4583,91010727,19860,0.9,0.97
Rhode Island,1998,10,"Total, all industries",31577,387246,11225683777,28989,0.97,1.02
Rhode Island,1998,511110,Newspaper publishers,43,2163,75781714,35037,1.18,1.43
Texas,2013,10,"Total, all industries",592908,9263369,482966220528,52137,1.02,1.0
Texas,1992,511110,Newspaper publishers,589,23380,545109312,23316,0.95,0.83
Texas,2024,513110,NAICS 513110 Newspaper publishers,465,4586,355485132,77514,0.97,0.57
Utah,2016,511110,NAICS 511110 Newspaper publishers,47,1290,51703092,40067,0.96,0.75
Vermont,1993,511110,Newspaper publishers,49,1303,23008778,17665,0.81,1.3
Virginia,2006,10,"Total, all industries",209294,2976895,129986711399,43665,0.99,0.97
Virginia,2022,10,"10 Total, all industries",319638,3258793,232368907788,71305,1.0,0.96
Virginia,2023,10,"10 Total, all industries",312152,3332239,247482671074,74269,1.0,0.96
Virginia,1998,511110,Newspaper publishers,200,10679,378715786,35463,1.14,0.97
Virginia,2004,511110,Newspaper publishers,212,9828,362840516,36920,0.94,0.97
Idaho,2003,10,"Total, all industries",45533,468484,13244828245,28272,0.99,0.97
Idaho,1990,511110,Newspaper publishers,57,1730,27514835,15901,0.88,1.02
Illinois,1990,10,"Total, all industries",244001,4459281,112747218934,25284,1.01,1.03
Illinois,2006,511110,Newspaper publishers,405,15363,633372345,41227,0.94,0.98
Indiana,1993,511110,Newspaper publishers,215,9205,180116744,19567,0.85,0.91
Kansas,1993,10,"Total, all industries",69451,891430,19886771085,22309,1.01,0.97
Kansas,2006,511110,Newspaper publishers,163,3606,95828411,26577,0.78,1.01
Louisiana,2004,511110,Newspaper publishers,127,4335,146640480,33827,1.09,0.8
Tennessee,1995,511110,Newspaper publishers,178,8410,176012335,20928,0.86,0.94
Utah,2012,10,"Total, all industries",81619,1006278,41421072198,41163,1.0,0.98
Vermont,2006,10,"Total, all industries",22947,251594,8794480962,34955,0.99,0.99
Vermont,2024,10,"10 Total, all industries",31420,255687,16373404598,64037,0.99,0.97
Vermont,2003,511110,Newspaper publishers,54,1365,32579097,23869,0.75,1.55
Vermont,2015,511110,Newspaper publishers,44,618,21859211,35400,0.88,1.47
Virginia,2014,511110,Newspaper publishers,180,6074,297580790,48990,1.0,1.13
Washington,2017,511110,NAICS 511110 Newspaper publishers,130,3265,151518290,46413,0.81,0.89
West Virginia,1991,10,"Total, all industries",40313,481519,10315856914,21424,1.01,0.96
Wisconsin,2005,10,"Total, all industries",153923,2365071,83050226565,35115,0.99,1.03
Wisconsin,1997,511110,Newspaper publishers,223,11486,258098933,22471,0.83,1.29
Wisconsin,2000,511110,Newspaper publishers,224,11210,288520154,25737,0.85,1.28
Puerto Rico,1992,511110,Newspaper publishers,15,2051,46762397,22801,1.63,0.6
Missouri,2018,10,"10 Total, all industries",191036,2381261,118086458775,49590,1.01,1.0
Nebraska,1995,10,"Total, all industries",44559,650339,14223070014,21870,0.99,0.98
Nevada,1998,511110,Newspaper publishers,52,1940,57610150,29690,0.99,0.62
Nevada,2022,513110,NAICS 513110 Newspaper publishers,37,534,36274220,67940,1.06,0.52
New Hampshire,2000,10,"Total, all industries",43937,529504,18664685132,35249,1.01,1.03
New Hampshire,2002,10,"Total, all industries",43829,521454,19081847485,36594,1.02,1.03
New Hampshire,2004,10,"Total, all industries",44998,529498,20937396948,39542,1.02,1.03
New Jersey,2009,10,"Total, all industries",259906,3158235,172260237038,54543,1.0,1.01
New Jersey,2017,511110,NAICS 511110 Newspaper publishers,134,4465,311252484,69708,1.17,1.0
New York,1992,10,"Total, all industries",467147,6249653,202523283737,32406,1.01,0.99
New York,1999,10,"Total, all industries",512403,6917359,294810836054,42619,1.01,0.98
New York,2009,10,"Total, all industries",570474,6901480,405952509939,58821,1.03,0.99
New York,1999,511110,Newspaper publishers,463,28666,1482593316,51719,1.24,1.05
North Dakota,1991,10,"Total, all industries",20095,198843,3500275475,17603,0.99,0.95
Michigan,2012,511110,Newspaper publishers,218,6656,272500870,40938,0.95,0.99
Minnesota,2009,10,"Total, all industries",156568,2196044,99377151261,45253,1.01,1.03
Minnesota,2013,10,"Total, all industries",156117,2322210,117216507273,50476,1.01,1.02
Minnesota,2016,10,"10 Total, all industries",154259,2438627,133250040727,54641,1.01,1.02
Mississippi,2005,10,"Total, all industries",63482,877853,25633801417,29201,0.99,0.94
Mississippi,2000,511110,Newspaper publishers,109,2933,70691032,24105,0.98,0.8
Missouri,2008,511110,Newspaper publishers,298,6857,250834602,36583,0.95,1.05
Missouri,2022,513110,NAICS 513110 Newspaper publishers,220,2103,93157085,44288,0.72,1.07
Nebraska,1999,10,"Total, all industries",47833,720731,19030083613,26404,0.99,0.98
New Hampshire,1999,10,"Total, all industries",43300,516636,16766335803,32453,1.01,1.03
New Hampshire,2022,10,"10 Total, all industries",59864,589213,43592819794,73985,1.02,1.02
New Jersey,2002,10,"Total, all industries",252805,3275702,146988589123,44872,1.0,1.01
Tennessee,1997,511110,Newspaper publishers,185,8476,196553140,23189,0.85,0.97
Tennessee,2007,511110,Newspaper publishers,183,6789,231719301,34134,0.91,0.96
Virginia,1993,10,"Total, all industries",156716,2286087,56367897567,24657,0.98,0.96
Virginia,1994,10,"Total, all industries",162308,2362221,59545755800,25208,0.97,0.96
West Virginia,1994,10,"Total, all industries",41739,516447,11734491323,22722,1.01,0.96
Wisconsin,1990,10,"Total, all industries",109772,1906647,39397375761,20663,0.99,1.03
Wyoming,2004,10,"Total, all industries",20932,187822,5758340157,30658,0.99,0.9
Wyoming,2017,10,"10 Total, all industries",24622,203816,9231906739,45295,0.98,0.89
Wyoming,2023,10,"10 Total, all industries",28690,213529,12585154636,58939,0.99,0.89
Wyoming,1994,511110,Newspaper publishers,47,1070,19400720,18136,0.84,1.36
Wyoming,2002,511110,Newspaper publishers,47,1124,22401905,19925,0.7,1.55
Puerto Rico,2001,10,"Total, all industries",49727,725626,13904762239,19162,0.97,0.85
Puerto Rico,2008,10,"Total, all industries",55670,716100,17225759976,24055,0.95,0.85
Virgin Islands,2021,10,"10 Total, all industries",3425,24392,1099713746,45085,0.9,0.82
Alaska,2003,511110,Newspaper publishers,39,1093,31691907,28984,0.77,1.25
Alaska,2010,511110,Newspaper publishers,32,648,23085474,35635,0.8,1.04
Arkansas,2024,513110,NAICS 513110 Newspaper publishers,80,876,36071083,41193,0.67,1.18
California,2023,10,"10 Total, all industries",1714686,15459871,1350669655986,87366,1.0,1.0
Colorado,1995,10,"Total, all industries",117496,1511210,40670117152,26912,1.0,1.0
Colorado,2011,10,"Total, all industries",166537,1839905,90605707490,49245,1.01,0.99
Colorado,2020,10,"10 Total, all industries",215069,2182001,147135257073,67431,1.01,0.99
Colorado,2007,511110,Newspaper publishers,190,6379,275761345,43227,1.0,1.08
Delaware,1996,10,"Total, all industries",20633,317763,9728747298,30616,1.01,1.03
Delaware,2000,511110,Newspaper publishers,14,1230,40541264,32949,0.92,0.94
Delaware,2006,511110,Newspaper publishers,16,1106,40538552,36670,0.83,0.97
Florida,2020,511110,NAICS 511110 Newspaper publishers,304,5263,288257631,54772,1.06,0.77
Georgia,1990,511110,Newspaper publishers,223,13137,276602878,21055,0.96,1.06
Hawaii,2019,10,"10 Total, all industries",42128,536507,26858561840,50062,0.95,0.95
Hawaii,2021,10,"10 Total, all industries",46101,470907,26871723164,57064,0.95,0.94
Wyoming,2010,10,"Total, all industries",23434,205226,8467207344,41258,0.99,0.91
Wyoming,1992,511110,Newspaper publishers,45,1061,17590695,16578,0.8,1.36
Puerto Rico,2000,511110,Newspaper publishers,14,3177,92852051,29226,1.57,0.97
Virgin Islands,2003,10,"Total, all industries",3082,29343,807314973,27513,0.89,0.83
Missouri,2020,10,"10 Total, all industries",207760,2274758,124658911190,54801,1.01,1.0
Montana,2018,10,"10 Total, all industries",47900,381664,16148910028,42312,0.98,0.96
New Hampshire,1996,10,"Total, all industries",38579,470328,13007161375,27656,1.01,1.03
New Hampshire,2005,10,"Total, all industries",45303,536157,21994857514,41023,1.02,1.03
New Hampshire,2015,10,"Total, all industries",48156,552285,29347575390,53138,1.01,1.02
New Jersey,2016,511110,NAICS 511110 Newspaper publishers,143,5355,342312406,63920,1.1,1.09
New Jersey,2021,511110,NAICS 511110 Newspaper publishers,132,3173,259589277,81812,1.14,1.13
New Jersey,2022,513110,NAICS 513110 Newspaper publishers,151,3268,299807379,91743,1.13,1.14
New Mexico,2003,10,"Total, all industries",46768,570868,16521344557,28941,0.96,0.91
New York,1995,10,"Total, all industries",485278,6406394,222169009851,34679,1.0,0.99
New York,2006,10,"Total, all industries",556855,7011126,399058446730,56918,1.03,0.99
North Carolina,1991,511110,Newspaper publishers,200,10004,199987962,19991,0.96,0.81
North Dakota,2004,10,"Total, all industries",22402,258025,7381059279,28606,0.99,0.96
North Dakota,2023,10,"10 Total, all industries",33394,348290,22524432503,64672,1.02,0.96
Ohio,2013,10,"Total, all industries",273758,4404185,194056494848,44062,0.99,1.02
Ohio,1994,511110,Newspaper publishers,331,17349,466390953,26884,1.04,0.93
Ohio,2010,511110,Newspaper publishers,291,10648,459486303,43152,1.12,1.1
Oklahoma,2003,511110,Newspaper publishers,169,4089,114284246,27950,0.95,0.97
Indiana,2020,10,"10 Total, all industries",166967,2535558,132475075180,52247,1.0,1.02
Iowa,1996,511110,Newspaper publishers,309,6660,124752548,18732,0.8,1.4
Kansas,1994,511110,Newspaper publishers,205,4393,86970913,19797,0.88,1.02
Kansas,2007,511110,Newspaper publishers,168,3535,94458366,26718,0.75,1.01
Maryland,2012,10,"Total, all industries",164145,2024063,105069815047,51910,0.96,0.96
Massachusetts,2000,10,"Total, all industries",184371,2858008,128756424818,45051,1.02,1.03
Massachusetts,2013,10,"Total, all industries",219486,2876412,179233318543,62311,1.01,1.04
Michigan,1995,511110,Newspaper publishers,270,13470,370730903,27524,0.92,0.87
Minnesota,1999,10,"Total, all industries",142312,2206919,74063196646,33560,1.0,1.02
Minnesota,2002,511110,Newspaper publishers,339,8746,297933067,34065,0.93,1.12
Mississippi,2008,10,"Total, all industries",66578,890251,29248635182,32854,0.98,0.94
Mississippi,2015,10,"Total, all industries",67829,878389,32413984960,36902,0.98,0.93
Michigan,2018,511110,NAICS 511110 Newspaper publishers,191,3729,166702778,44710,0.9,0.86
Michigan,2021,511110,NAICS 511110 Newspaper publishers,193,2607,130095372,49902,0.86,0.88
Minnesota,1993,511110,Newspaper publishers,327,12506,240821774,19257,0.78,1.45
Mississippi,1991,10,"Total, all industries",53532,726670,13175173019,18131,1.0,0.95
Mississippi,2001,511110,Newspaper publishers,110,2830,69812520,24667,0.98,0.82
Mississippi,2002,511110,Newspaper publishers,114,2748,68721678,25004,0.96,0.82
Missouri,2017,10,"10 Total, all industries",195618,2366305,113157998299,47821,1.01,1.0
Missouri,1994,511110,Newspaper publishers,312,8768,222011194,25321,1.04,0.97
